titre_normalise,frequence
rupture etancheite ligne frontiere - trou dans cloture,2
fod l19,2
mauvais stationnement avion,2
incursion piste en b4,2
fod sur l15,2
materiels stationnes sur zone ops,2
mauvais placement avion d43,2
tentative d'intrusion cote piste,2
fod - fuite hydraulique loader,2
fod aeronautique sur piste,2
materiels mal stationnes sur les differents parkings avions,2
passager indiscipline - paxi,2
baisse np sslia np5 iso np9 avec impact sur le trafic,2
fod sur j39,2
fod sur c61.,2
interruption repoussage suite rupture fusible,2
baisse en np7 iso np9 avec impact ops np-2,2
approche cat ii desaxee,2
stationnement genant - vehicules phmr,2
informations parkings erronees sur radar sol,2
baisse np sslia en np7 iso np9,2
passager indiscipline (paxi) - accompagnant,2
rupture etancheite ligne frontiere - volet tapis bagages,2
repoussages non conformes,2
fod - poubelle aire de trafic,2
fod sur j33,2
baisse np7 en np5 avec impact ops en np-2,2
probleme de train d'atterrissage - etat d'alerte,2
ouverture ugis t2 et t1b,2
collision aviaire 35r non signalee,2
survol de drones,2
fod - debris nidifications,2
materiel sur zone ops,2
plan de vol introuvable sur dman,2
fod debordement kerosene,2
refus de priorite a un avion - quasi-collision,2
dysfonctionnement papi 17r,2
fod - poubelles air algerie,2
probleme barre d'arret,2
incursion piste vehicule sslia,2
roulage non conforme,2
dysfonctionnement croix de saint andre,2
fod deversement gasoil,2
fod sac poubelle,2
positionnement avion et roulage dangereux,2
etat d'alerte - odeur de brule a bord,2
etat de veille - probleme technique,2
fod sur l17,2
fod sur b73,2
avion stationne sur plot helicoptere,2
fuite hydraulique en j11,2
quasi-collision vehicule assistant avec avion,2
impact foudre,2
fuite hydraulique en j14,2
fod sur j19,2
fod sur j13,2
fuite de kerosene en d63,2
etat de veille,2
choc avion,2
fuite hydraulique e13,2
fod sur piste 17r,2
fod sur d43,2
refus de priorite vehicule sur avion en d61,2
collision avaire 35r,2
tracma sous event,2
entree en zec sans autorisation des essenciers,2
refus de priorite vehicule sur avion en d21,2
fod sur a21,2
fod sur piste 34,2
collision aviaire sur piste 34,2
fod sur a3,2
fuite hydraulique en c21,2
collision aviaire sur 35l,2
fuite hydraulique en l11,2
fuite hydraulique en j15,2
fod sur ligne de guidage c41,2
refus de priorite avion par vl,2
bouchon reservoir avion endommage,2
erreur sur loadsheet,2
fod sur b81,2
materiel mal positionne,2
pax au telephone pendant avitaillement,2
probleme mosquito,2
fuite d'huile sur c21,2
materiel genant sur voie de circulation,2
fuite hydraulique ezy,2
nombreux fod en c81,2
fuite hydraulique en d21,2
collision aviaire 18r.,2
fod sur a36.,2
fod sur c61,2
